score,monthly_spread,annualized_spread,t,months,sharpe
instrumented,0.002906469766038412,0.034877637192460946,1.1961067054005745,251,0.26593424749292754
realized,-0.0011205716992870828,-0.013446860391444992,-0.9548648035106038,251,-0.18618471685804697
stale_12m,-0.0005296668724859381,-0.006356002469831258,-0.31574317637732874,239,-0.06912305804140545
