stage,term,coef,t,r2,rows
first_stage,pressure_pred_z,0.25943098926066205,240.9863930848305,0.07645890259564625,1009796
reduced_form,pressure_pred_z,-0.00040473335832849004,-2.977184057491338,0.00022150986542346374,1009796
second_stage,pressure_hat,-0.0015600810041065658,-2.9771840567909744,0.00022150986542257556,1009796
